,Mexico,Colombia,Guatemala,Brazil,Taiwan,United States (Hawaii),Honduras,Costa Rica,Ethiopia,Tanzania
1,-1.0,0.0,1e-06,1e-06,0.016566,0.001722,0.705141,0.0,0.0,0.009527
2,,-1.0,0.0,1.8e-05,0.0,1.1e-05,0.0,0.152449,1.2e-05,0.000808
3,,,-1.0,0.634122,0.226993,0.645582,0.006378,0.044947,0.0,0.817839
4,,,,-1.0,0.127487,0.417564,0.003129,0.110127,0.0,0.59974
5,,,,,-1.0,0.534434,0.147195,0.007686,0.0,0.520971
6,,,,,,-1.0,0.044711,0.036509,0.0,0.904812
7,,,,,,,-1.0,0.000149,0.0,0.065491
8,,,,,,,,-1.0,3e-06,0.08996
9,,,,,,,,,-1.0,0.0
10,,,,,,,,,,-1.0
